ID,Title,Iteration Path,State,User story owner,QA's Assigned,Developer,Story Size,Story Status,Release date,Development Status,Testing on Demo Status,QA Sign Off,Sunil's Sign Off,Final Demo 1 on Demo env,Deployment on Dev,Dev Env.,Deployment on QA ,Final Demo 2 on QA Env.,QA Env.,Live,Overall Status,Comment
40593,"WEB | Your -Organization part 2 (new design) - Redesign of Carbon footprint, file uploader, manage rate & history",Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Vineeta,Nitin and Mayank",Shivi Prajapati ,Medium,Complete,2026 July,"Inprogress 
Foreign Exchange 
12th June 2026",6/18/2026,6/18/2026,6/19/2026,6/22/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,"We will fix the feedbacks related to UI and lazy loading with this enhancement. 

Create separate enhancement for panel redesign for August release - Shivi will work on it after the lazy loading."
40564,WEB | API Deck - Dynamics Integration,Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Geetika,"Nitin, Mayank",Dhananjai,Medium,Complete,2026 May,Complete,NA,NA,NA,NA,ETA: 4-05-2026,15th May 2026,,,20th May 2026,21st May 2026,,"This item was resolved on 06-05-2026

The deployment was done directly on the dev env as it was a backend change and this has been communicated with the management team as well."
39948,Electric Car Dashboard,Solo Expenses\2026\Iteration 2026 07-July,New,Chhavi,,Nitesh Bagdi,Medium,Complete,2026 August,,,,,,,,,,,,,
40565,WEB | API Deck - NetSuite Integration,Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Geetika,"Nitin, Mayank",Dhananjai,Medium,Complete,2026 May,Complete,NA,NA,NA,NA,ETA: 4-05-2026,15th May 2026,,,20th May 2026,21st May 2026,,"This item was resolved on 06-05-2026

The deployment was done directly on the dev env as it was a backend change and this has been communicated with the management team as well."
37583,"WEB | Your -Organization part 1 (new design) - Redesign of Your Organisation Setup, Delete Test Data and Pre-Approval",Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Chhavi,"Nitin, Vineeta",Shivi Prajapati ,Medium,Complete,2026 May,Complete,Complete,Complete,"
ETA: 23-04-2026",ETA: 24-04-2026,ETA: 30-04-2026,15th May 2026,,,20th May 2026,21st May 2026,,"There is one feedback we need to discuss with Sunita, Arjan to discuss the placement of unsubscribe button inside the feature (pre-approval)(found in today's demo call with sunil - 21st April)
This has been done along with adding the search button add on view currency panel"
35786,Android | Enhancement - Voice Activation Phase 1,Solo Expenses\2025\Iteration 2025 12-December,Tester Assigned,Geetika,,Jyoti Dahiya ,Medium,Complete,2026 August,,,,,,,,,,,,,
32620,Web |Laundry Policy (Story to be added),Solo Expenses\2027\Iteration 2027 02-Februari,New,Chhavi,,Arpit Bhardwaj ,Big,Not Required,2027 August,,,,,,,,,,,,,
37388,Android | TAX | Canadian Tax Rate implementation in Create Expense form,Solo Expenses\2026\Iteration 2026 08-August,New,Geetika,,Jyoti Dahiya ,Medium,Complete,2026 September,,,,,,,,,,,,,
37389,iOS | TAX | Canadian Tax Rate implementation in Create Expense form,Solo Expenses\2026\Iteration 2026 08-August,New,Geetika,,Dolly Munjal ,Medium,Complete,2026 September,,,,,,,,,,,,,
32182,"Web | Audit trail : Container Support, Pre Approval Support and UI / UX improvement (refer use case 8 and 9)",Solo Expenses\2026\Iteration 2026 08-August,Active,Sunil,,Arpit Bhardwaj ,Medium,Complete,2026 September,,,,,,,,,,,,,
36636,Web | TAX | Canadian Tax Rate implementation in tax setup,Solo Expenses\2026\Iteration 2026 08-August,Clarification,Geetika,,Rajesh K,Medium,Complete,2026 September,,,,,,,,,,,,,
38782,WEB | Credit Card - Drag & Drop | Amy Glasgow(amy.glasgow@expenseondemand.com)|Issue - Cardholder Assignment Not Reflecting in Credit Card Dashboard after CC was assigned to Claimant after importing transactions,Solo Expenses\2026\Iteration 2026 06-June,Complete,Geetika,"Kunal, Nitin",Rajesh K,Small,Complete,2026 July,Complete,6/15/2026,6/16/2026,6/16/2026,6/17/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
32622,Web | Time Recording (Story to be added),Solo Expenses\2027\Iteration 2027 01-Januari,New,Geetika,,Pranjal Jindal,Big,Incomplete,2027 February,,,,,,,,,,,,,
35008,WEB | Enhancement - Voice Activation Phase 1,Solo Expenses\2026\Iteration 2026 01-January,Tester Assigned,Geetika,,Rajesh K,Small,Complete,2026 August,,,,,,,,,,,,,
37937,Web | Export: Improve export panel messaging with radio-based option selection,Solo Expenses\2026\Iteration 2026 02-February,Testing,Geetika,"Nitin, Mayank",Rajesh K ,Very small,Complete,2026 April,Completed,Completed,Completed,Completed,Completed,,4/17/2026,,,4/22/2026,4/23/2026,,
35965,WEB & mobile | Use Case 19 | Customer Requirement - Harris Balcombe | Mileage | HMRC has introduced a new dual fuel rate (for vehicles that can be charged both via public charging and home charging).,Solo Expenses\2026\Iteration 2026 03-March,Active,Chhavi,"Nancy, Vineeta",Nitesh Bagdi ,Small,Complete,2026 April,Completed,4/14/2026,4/14/2026,4/14/2026,4/14/2026,4/14/2026,4/17/2026,,,4/22/2026,4/23/2026,,
36381/38449,"WEB | Mileage | Use Case 2 | ""You are trialing Mileage"" Screen should not come while exploring Mileage after Registering new Subscription.",Solo Expenses\2026\Iteration 2026 03-March,Active,Chhavi,"Nancy, Vineeta",Nitesh Bagdi ,Small,Complete,2026 April,Completed,4/14/2026,4/14/2026,4/14/2026,4/14/2026,4/14/2026,4/17/2026,,,4/22/2026,4/23/2026,,
36698,"WEB | Customer - Immediate Media | Delegate - Email Receipts | Use Case 14 | Delegate use their mail and include delegator in ""CC"" in email to send them the receipts",Solo Expenses\2026\Iteration 2026 03-March,Watch List,Chhavi,"Vineeta, Shubham",Rajesh K ,Small,Complete,2026 April,Completed,Completed,Completed,Completed,Completed,,4/17/2026,,,4/22/2026,4/23/2026,,
38842,WEB | Credit Card (Import) | Drag & Drop Upload Bypasses Digits Validation for Card Number field in Credit Card Statements for Import and Allows only 4-Digit Card Numbers,Solo Expenses\2026\Iteration 2026 03-March,Testing,Geetika,"Nitin, Mayank",Rajesh K ,Very small,Complete,2026 April,Completed,Completed,Completed,Completed,Completed,,4/17/2026,,,4/22/2026,4/23/2026,,
38187,Mobile | Use Case 35 | When scanning needs an area where the user can add a note for later use - especially when the transactions come in,Solo Expenses\2026\Iteration 2026 04-April,Dev Complete,Chhavi,"Mayank, Kunal",Dolly Munjal ,Small,Complete,2026 June,Completed,5/20/2026,5/20/2026,5/20/2026,"Friday, May 22, 2026","Friday, May 29, 2026","Wednesday, June 24, 2026","Thursday, June 25, 2026","Friday, June 26, 2026","Monday, June 29, 2026","Tuesday, June 30, 2026",,
40448,"WEB | Enhancement - Quick Setup - Currency symbols to be replaced with name currency name, like INR, GBP",Solo Expenses\2026\Iteration 2026 04-April,Dev Complete,Geetika,"Vineeta, Kunal",Archana Pandey ,Very small,Complete,2026 April Hotfix,Completed,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,,,"Thursday, June 25, 2026",,ETA: 27-04-2026, 28-04-2026,,
36276,WEB | Export | While Exporting Expense Count is showing 4 instead of 8 because of Multiple tax rates in expenses.,Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Geetika,"Nitin, Mayank",Rajesh K ,Very small,Complete,2026 May,Completed,Complete,Complete,Complete,ETA: 30-04-2026,ETA: 30-04-2026,15th May 2026,"Thursday, June 25, 2026",,20th May 2026,21st May 2026,,
38147,"Web | Xero (Export - Log) | When hovering over the error icon, the message “Account Code or ID must be specified” is shown twice, causing duplicate error text to be displayed to the user",Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Geetika,"Nitin, Mayank",Rajesh K ,Very small,Complete,2026 May,Completed,Complete,Complete ,Complete,ETA: 30-04-2026,ETA: 30-04-2026,15th May 2026,"Thursday, June 25, 2026",,20th May 2026,21st May 2026,,
39667,Web & Mobile | Credit Card (Issue identified when reviewing the Customer Data - SirenCraftBrew) - Dismiss action missing for Rejected Credit Card expense items,Solo Expenses\2026\Iteration 2026 04-April,New,Geetika,"Nitin, Vineeta",Archana Pandey ,Very small,Complete,2026 April Hotfix,Completed,"Web testing done - 24-4-2026
Mobile testing done on QA env :28-04-2026","Web signed off - 24-4-2026
Mobile signed off on QA env -28-04-2026","Web sign off done on demo env
Mobile sign off done on QA env - 29-04-2026","Web sign off done on demo env - 24-4-2026
Mobile sign off done on QA env - 29-04-2026 ",,,,,"Deployed on 28-4-2026
",ETA:08-05-2026,,"Demo env is not stable so sign off will be done on QA env for mobile

Planned for April Hotfix 2"
40242,Mobile - Receipt Capture | Use Case 44 | Customer Issue - Talleys Group - Stephanie Smalley (stephanie.smalley@talleysgroup.nz) | Receipt Capture Overlay Blocks Visual Confirmation,Solo Expenses\2026\Iteration 2026 04-April,Request Estimate,Chhavi,"Nitin, Shubham","Dolly Munjal,Jyoti Dahiya",Very small,Complete,2026 April Hotfix,Completed,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,,,,,ETA: 24-04-2026,ETA: 27-04-2026,,
33716,Web | There should be a search field to find the currency,Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Chhavi,"Nitin, Vineeta",Shivi Prajapati ,Very Small,Complete,2026 May,Completed,Complete,ETA: 30-04-2026,ETA: 30-04-2026,ETA: 30-04-2026,ETA: 30-04-2026,15th May 2026,,,20th May 2026,21st May 2026,,Shivi was on leave on 27th and 28th April
39423,Enhancement 39423: WEB & Mobile | Use case 23 | Mileage | Customer Requirement: JOSH | Add upto 4 decimal places to support US regulations,Solo Expenses\2026\Iteration 2026 04-April,Dev complete,Chhavi,"Nancy, Satyarth,Vineeta","Nitesh, Dhananjai, Dolly and Jyoti",Very small,Complete,2026 April Hotfix,"Web - Complete and Deployed on Demo
Mobile - 04-05-2026",ETA: 05-05-2026,ETA: 05-05-2026,ETA: 05-05-2026,ETA: 05-05-2026,,,,,ETA: 07-05-2026,ETA:08-05-2026,,
40447,WEB | Enhancement - Quick Setup - Dual checkbox validation message,Solo Expenses\2026\Iteration 2026 04-April,Dev Complete,Geetika,"Vineeta, Kunal",Archana Pandey ,Very small,Complete,2026 April Hotfix,Completed,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,ETA: 24-04-2026,,,,,ETA: 27-04-2026, 28-04-2026,,
38228,"WEB | Credit Card - During statement import, if there are more negative entries, verify that negative amounts are expenses and positive amounts are refunds or payments.",Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Rajesh K ,Small,Complete,2026 May Hotfix,Completed,26-5-2026,26-5-2026,5/27/2026,NA,NA,NA,6/2/2026,6/2/2026,6/4/2026,6/5/2026,,
39516,WEB | Credit Card - Multi Currency in credit card statement handling,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Rajesh K ,Small,Complete,2026 May Hotfix,Completed,9/6/2026,6/9/2026,6/9/2026,NA,NA,NA,6/10/2026,6/11/2026,6/16/2026,6/17/2026,,
40217,WEB | Smart Scan | Use Case 35 |Add notes feature to be given in web as well,Solo Expenses\2026\Iteration 2026 05-May,Dev Complete,Chhavi,"Mayank, Kunal",Rajesh K ,Small,Complete,2026 June,Completed,5/20/2026,5/20/2026,5/20/2026,"Friday, May 22, 2026","Friday, May 29, 2026","Wednesday, June 24, 2026","Thursday, June 25, 2026","Friday, June 26, 2026","Monday, June 29, 2026","Tuesday, June 30, 2026",,
37397,WEB | Credit Card - Drag & drop improvements,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Rajesh K ,Small,Complete,2026 May Hotfix,Completed,28-5-2026,28-5-2026,28-5-2026,NA,NA,NA,"Thursday, June 25, 2026",6/2/2026,6/4/2026,6/5/2026,,
32623,Web | Travel (Story to be added),Solo Expenses\2026\Iteration 2026 12-December,New,Geetika,,Archana Pandey ,Big,Incomplete,2027 March,,,,,,,,"Thursday, June 25, 2026",,,,,
40047,WEB | Credit Card - Cards are assigned to Claimants and then matched in Xero,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Rajesh K ,Small,Complete,2026 May Hotfix,Completed,6/9/2026,6/9/2026,6/9/2026,NA,NA,NA,"Thursday, June 25, 2026",6/11/2026,6/16/2026,6/17/2026,,
32624,Web | FC/Cash Allowance function (Story to be added),Solo Expenses\2027\Iteration 2027 01-Januari,New,Chhavi,,Nitesh Bagdi,Big,Not Required,2027 February,,,,,,,,,,,,,
41267,Enhancement 41267: Android | Credit Card - Multi Currency in credit card statement handling,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Sagar,Small,Complete,2026 May Hotfix,Completed,6/9/2026,6/9/2026,6/9/2026,NA,NA,NA,6/10/2026,6/11/2026,6/16/2026,6/17/2026,,
41268,Enhancement 41268: iOS | Credit Card - Multi Currency in credit card statement handling,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Kunal, Vineeta, Nitin",Dolly,Small,Complete,2026 May Hotfix,Completed,6/9/2026,6/9/2026,6/9/2026,NA,NA,NA,6/10/2026,6/11/2026,6/16/2026,6/17/2026,,
37047,"WEB | Smart Scan | Use Case 19 | In case a receipt is captured and ""Save & Scan"", The receipt summary is not being displayed on WEB & Due to this from the mobile end when on ""Discard Values"" is clicked the values are still persisting",Solo Expenses\2026\Iteration 2026 05-May,Dev Complete,Chhavi,"Satyarth,Nancy,Vineeta",Dhananjai Kalra ,Very small,Complete,2026 June,Completed,Complete,5/20/2026,5/20/2026,"Friday, May 22, 2026","Friday, May 29, 2026","Wednesday, June 24, 2026","Thursday, June 25, 2026","Friday, June 26, 2026","Monday, June 29, 2026","Tuesday, June 30, 2026",,
38059,WEB & Mobile | internal | Mileage |Use Case 24| There is no option to remove Passenger & Load from the expense form if it is selected once by the user on all three platforms,Solo Expenses\2026\Iteration 2026 05-May,Dev Complete,Chhavi,"Satyarth,Nancy,Vineeta","Nitesh Bagdi, Dolly, Jyoti",Very small,Complete,2026 June,Completed,Complete,"Complete
18-05-2026",5/20/2026,"Friday, May 22, 2026","Friday, May 29, 2026","Wednesday, June 24, 2026","Thursday, June 25, 2026","Friday, June 26, 2026","Monday, June 29, 2026","Tuesday, June 30, 2026",,
39105,WEB : Credit Card - Credit Card Statement Headers for the Columns to be Changed and Column 'Card Holder to be either hidden or displayed at the end,Solo Expenses\2026\Iteration 2026 05-May,Dev Complete,Geetika,"Kunal, Vineeta",Rajesh K ,Very small,Complete,2026 June,Completed,5/22/2026,5/22/2026,NA,NA,"Friday, May 29, 2026","Wednesday, June 24, 2026","Thursday, June 25, 2026",NA,"Monday, June 29, 2026","Tuesday, June 30, 2026",,Demos not applicable as it is a very small enhancement
36388,WEB | Create Expense | Use case 1 & 2 | Provide Claimant the option to move a receipt from their Desktop folder into Cash or Company Credit Card,Solo Expenses\2026\Iteration 2026 04-April,Active,Rajesh K,"Mayank, Satyarth",Rajesh K ,Small,Complete,2026 March Hotfix,Completed,Completed,Completed,Completed,ETA:28-04-2026,,NA,"Thursday, June 25, 2026",,6/2/2026,"Monday, April 13, 2026",,
40986,Web | Export | Customer Issue - HWF Partners (Lucy Hodges<lucy.hodges@hwfpartners.com>) - Export Report Not Working,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Nitin, Vineeta",Rajesh K ,Very Small,Complete,2026 May Hotfix,Completed,5/29/2026,6/1/2026,5/29/2026,NA,NA,NA,6/2/2026,6/2/2026,6/4/2026,6/5/2026,,It's a very small enhancement
41014,WEB | Xero Export - Receipts | Customer Issue - Dawn Whitehead - Finance (finance@hwfpartners.com) | Receipt not fed to Xero,Solo Expenses\2026\Iteration 2026 05-May,Dev complete,Geetika,"Nitin, Vineeta",Rajesh K ,Very Small,Complete,2026 May Hotfix,Completed,5/29/2026,6/1/2026,5/29/2026,NA,NA,NA,6/2/2026,6/2/2026,6/4/2026,6/5/2026,,It's a very small enhancement
32923,WEB | Use case 11 | Mileage Fuel Card / NR | Effective Date of NR/FC to be added as 1st Apr of the current financial year,Solo Expenses\2026\Iteration 2026 07-July,Complete,Chhavi,"Nancy, Satyarth, Vineeta",Dhananjai Kalra,Small,Complete,2026 August,Completed,6/12/2026,6/12/2026,6/16/2026,,,,,,,,,
34415,Mobile | Use case 17 | Mileage Google - Provides information to the user about the Return Journey feature. An information / alert panel if the user enters the same location in source and destination and uses Detour to claim mileage.,Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Nancy, Satyarth, Vineeta",Dolly Munjal ,Small,Complete,2026 July,Completed,"Complete
11th June 2026","Complete
11th June 2026",6/16/2026,6/18/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
32628,Web |Sales Funnel (Story to be added),Solo Expenses\2027\Iteration 2027 02-Februari,New,Geetika,,Rajesh K,Big,Not Required,2027 August,,,,,,,,,,,,,
32648,Web | Accountancy Practice + REFER and Earn (Story to be added),Solo Expenses\2026\Iteration 2026 12-December,New,Geetika,,Rajesh K,Big,Not Required,2027 August,,,,,,,,,,,,,
35823,iOS | Customer Issue - Yorkshire Sport | Use case 9 | Error When Selecting Non-Default Vehicle and Claiming for Past Dates,Solo Expenses\2026\Iteration 2026 06-June,Active,Chhavi,"Nancy, Satyarth, Vineeta",Dolly Munjal ,Small,Incomplete,2026 August,,,,,,,,,,,,,
36312,WEB | Mileage | Use case 14 | Passenger and Load screen is coming after adding new vehicle type even if passenger and load is not setup.,Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Nancy, Satyarth, Vineeta",Nitesh Bagdi,Small,Complete,2026 July,Completed,"Complete
11th June 2026","Complete
11th June 2026",6/16/2026,6/18/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
36735,WEB | Scan | Use case 20 | Future Date Expense Handling,Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Mayank, Kunal",Rajesh K,Small,Complete,2026 July,Completed,6/15/2026,6/15/2026,6/16/2026,6/18/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
39130,WEB | Integrations | Ability to use more than 1 integration when multiple country / company is setup and assign to different entities,Solo Expenses\2026\Iteration 2026 06-June,Complete,Geetika,"Mayank, Nitin",Rajesh K,Small,Complete,2026 July,Completed,6/15/2026,6/15/2026,6/16/2026,6/17/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
38450,"WEB & Mobile | Use Case 6 | Mileage | By Default, set the Google calls character input to 8, and allow the FM can change it",Solo Expenses\2026\Iteration 2026 06-June,Complete,Chhavi,"Satyarth,Nancy,Vineeta",Nitesh Bagdi,Small,Complete,2026 July,Completed,"Complete
11th June 2026","Complete
11th June 2026",6/16/2026,6/18/2026,7/1/2026,ETA: 15-7-2026,ETA: 16-7-2026,,ETA: 20-7-2026,ETA: 21-7-2026,,
39437,iOS | AI Chatbot,Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,,Dolly Munjal ,Small,Complete,2026 August,,,,,,,,,,,,,
39870,"Mobile | Android | Login, Forgot password redesign (new design system)",Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Jyoti Dahiya ,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
39872,Mobile | Android | Profile - redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Sagar Khurana ,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
40200,Mobile | Android | Dashboard redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Jyoti Dahiya ,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
40201,"Mobile | iOS | Login, Forgot password redesign (new design system)",Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Dolly Munjal ,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
40202,Mobile | iOS | Dashboard redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Nishtha Arora,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
40203,Mobile | iOS | Profile - redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,Dev Complete,Geetika,"Nitin, Vineeta",Dolly Munjal ,Small,Complete,2026 July Hotfix,Dev Complete,,,,,,,,,,,,
40283,Mobile | Android | Status list and Item List redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Sagar Khurana ,Small,Incomplete,2026 July Hotfix,,,,,,,,,,,,,
40285,Mobile | Android | Capture Receipt design (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Sagar Khurana ,Small,Incomplete,2026 July Hotfix,,,,,,,,,,,,,
40266,WEB | Separate the keys for incomplete cash expense string for expense list and claim form,Solo Expenses\2026\Iteration 2026 04-April,Estimated,,Sunita,Shivi Prajapati ,Very small,Not Required,2026 April,Completed,Not Required,Not Required,Not Required,Not Required,,4/17/2026,,,4/22/2026,4/23/2026,,
40302,Mobile | iOS | Capture Receipt design (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Nishtha Arora,Small,Incomplete,2026 July Hotfix,,,,,,,,,,,,,
40312,Mobile | iOS | Status list and Item List redesign (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Nishtha Arora,Small,Incomplete,2026 July Hotfix,,,,,,,,,,,,,
40287,Mobile | Android | Item detail design (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Sagar Khurana ,Small,Incomplete,2026 August Hotfix,,,,,,,,,,,,,
40303,Mobile | iOS | Item detail design (new design system),Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Nishtha Arora,Small,Incomplete,2026 August Hotfix,,,,,,,,,,,,,
32659,Split Non-Reimbursable Fuel into Mileage and Cost of Fuel (Story to be added),Solo Expenses\2027\Iteration 2027 01-Januari,New,Chhavi,,Nitesh Bagdi,Big,Not Required,2027 February,,,,,,,,,,,,,
39435,Android | AI Chatbot,Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,,Jyoti Dahiya ,Small,Complete,2026 August,,,,,,,,,,,,,
35045,Mobile | Security - Face ID / Fingerprint / Passcode - After enabling it why does it still show me the email to login,Solo Expenses\2026\Iteration 2026 06-June,New,Geetika,"Nitin, Vineeta",Dolly Munjal ,Small,Incomplete,2026 July Hotfix,,,,,,,,,,,,,
32689,Web | Expense Policy - Hourly Rate Limit + Category changes,Solo Expenses\2027\Iteration 2027 01-Januari,New,Chhavi,,Nitesh Bagdi,Big,Incomplete,2027 February,,,,,,,,,,,,,
35487,Web | Sales Administrator Module (Story to be added),Solo Expenses\2026\Iteration 2026 12-December,New,Geetika,,Archana Pandey ,Big,Not Required,2027 August,,,,,,,,,,,,,
35488,Web | Sales Manager Module (Story to be added),Solo Expenses\2027\Iteration 2027 02-Februari,New,Geetika,,Rajesh K,Big,Not Required,2027 August,,,,,,,,,,,,,
37112,WEB & Mobile | Mileage | Use case 15 | Customer Issue - SWNS - Vicki Clark (vicki.clark@swns.com) | Cycle rate not showing when claiming mileage using the cycle assigned to the customer.,Solo Expenses\2026\Iteration 2026 06-June,Active,Chhavi,"Nancy, Satyarth, Vineeta",Nitesh Bagdi,Small,Incomplete,2026 August,,,,,,,,,,,,,
40541,WEB | Sub Admin - Finance Managers - Reports | List of customers (Finance Managers) need them clarify which are prospects and which are paying customers in the list (December),Solo Expenses\2026\Iteration 2026 11-November,New,Geetika,,Rajesh K,Small,Not Required,2026 December,,,,,,,,,,,,,
35493,WEB | Sales Distributor Module,Solo Expenses\2026\Iteration 2026 12-December,New,Chhavi,,Nitesh Bagdi,Big,Not Required,2027 August,,,,,,,,,,,,,
39519,WEB | AI Architecture,Solo Expenses\2027\Iteration 2027 03-March,New,Geetika,,Rajesh K,Big,Incomplete,2027 April,,,,,,,,,ETA: 10-6-2026,,,,
